month,property_type,duration,sales_volume,median_price,total_revenue
2000-04-01,F,F,486,62250.0,47479599.0
2000-04-01,F,L,15386,78950.0,1695548250.0
2000-04-01,S,F,24970,72950.0,2283053015.0
2000-04-01,S,L,2108,59475.0,138821078.0
2000-04-01,T,F,26534,62000.0,2204914320.0
2000-04-01,T,L,2720,40000.0,166521730.0
2000-05-01,D,F,22628,127500.0,3601048840.0
2000-05-01,D,L,1003,96700.0,111903400.0
2000-05-01,F,F,500,67250.0,50960192.0
2000-05-01,F,L,16152,79950.0,1777651173.0
2000-05-01,S,F,25212,73650.0,2290896535.0
2000-05-01,S,L,2289,59500.0,153741819.0
2000-05-01,T,F,27518,63000.0,2309747420.0
2000-05-01,T,L,2841,40000.0,172414832.0
2000-06-01,D,F,26733,127500.0,4246579027.0
2000-06-01,D,L,1164,94975.0,129639788.0
2000-06-01,F,F,518,66975.0,57903041.0
2000-06-01,F,L,18107,80500.0,1970938541.0
2000-06-01,S,F,28756,73000.0,2638529302.0
2000-06-01,S,L,2683,59000.0,179486435.0
2000-06-01,T,F,31179,64000.0,2609215087.0
2000-06-01,T,L,3189,40000.0,178962378.0
2000-07-01,D,F,23152,132500.0,3924061601.0
2000-07-01,D,L,1018,97000.0,115559034.0
2000-07-01,F,F,483,60000.0,49369115.0
2000-07-01,F,L,16104,79995.0,1764371235.0
2000-07-01,S,F,26801,75000.0,2545956093.0
2000-07-01,S,L,2486,59950.0,165444949.0
2000-07-01,T,F,28608,64950.0,2454378468.0
2000-07-01,T,L,2997,40000.0,176227095.0
2000-08-01,D,F,24036,133000.0,4071170888.0
2000-08-01,D,L,926,96825.0,109534864.0
2000-08-01,F,F,503,64000.0,54902697.0
